order_id,product,quantity,price,city
101,Laptop,1,65000,Bangalore
102,Mouse,2,1200,Delhi
103,Keyboard,1,2500,Mumbai
104,Monitor,2,15000,Pune
105,Headphones,3,3000,Hyderabad
106,Laptop,1,72000,Chennai
107,Mouse,4,1000,Bangalore
108,Keyboard,2,2200,Delhi
109,Monitor,1,18000,Mumbai
110,Tablet,2,25000,Pune
111,Headphones,1,4500,Chennai
112,Laptop,2,58000,Hyderabad
113,Mouse,5,900,Mumbai
114,Keyboard,1,3500,Pune
115,Monitor,2,12500,Bangalore
116,Tablet,1,32000,Delhi
117,Headphones,2,2800,Mumbai
118,Laptop,1,85000,Pune
119,Mouse,3,1100,Chennai
120,Keyboard,2,3000,Hyderabad
121,Monitor,1,22000,Delhi
122,Tablet,2,28000,Bangalore
123,Headphones,4,2500,Pune
124,Laptop,1,69000,Mumbai
125,Mouse,2,1300,Hyderabad
126,Keyboard,3,1800,Chennai
127,Monitor,1,16500,Pune
128,Tablet,1,36000,Mumbai
129,Headphones,2,3200,Bangalore
130,Laptop,2,62000,Delhi
